,type,team_0_crowns,opponent_0_crowns,team_0_cards_0_name,team_0_cards_1_name,team_0_cards_2_name,team_0_cards_3_name,team_0_cards_4_name,team_0_cards_5_name,team_0_cards_6_name,team_0_cards_7_name,team_0_cards_0_level,team_0_cards_1_level,team_0_cards_2_level,team_0_cards_3_level,team_0_cards_4_level,team_0_cards_5_level,team_0_cards_6_level,team_0_cards_7_level,team_0_cards_0_maxLevel,team_0_cards_1_maxLevel,team_0_cards_2_maxLevel,team_0_cards_3_maxLevel,team_0_cards_4_maxLevel,team_0_cards_5_maxLevel,team_0_cards_6_maxLevel,team_0_cards_7_maxLevel,opponent_0_cards_0_name,opponent_0_cards_1_name,opponent_0_cards_2_name,opponent_0_cards_3_name,opponent_0_cards_4_name,opponent_0_cards_5_name,opponent_0_cards_6_name,opponent_0_cards_7_name,opponent_0_cards_0_level,opponent_0_cards_1_level,opponent_0_cards_2_level,opponent_0_cards_3_level,opponent_0_cards_4_level,opponent_0_cards_5_level,opponent_0_cards_6_level,opponent_0_cards_7_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_maxLevel,opponent_0_cards_2_maxLevel,opponent_0_cards_3_maxLevel,opponent_0_cards_4_maxLevel,opponent_0_cards_5_maxLevel,opponent_0_cards_6_maxLevel,opponent_0_cards_7_maxLevel
20,pathOfLegend,1,0,Goblin Barrel,Knight,Rocket,Goblin Gang,Inferno Tower,Princess,Ice Spirit,The Log,9,14,12,14,12,6,14,6,9,14,12,14,12,6,14,6,Bandit,Minions,P.E.K.K.A,Zap,Battle Ram,Poison,Royal Ghost,Electro Wizard,6,14,9,14,12,9,6,6,6,14,9,14,12,9,6,6
21,pathOfLegend,1,0,Goblin Barrel,Knight,Rocket,Goblin Gang,Inferno Tower,Princess,Ice Spirit,The Log,9,14,12,14,12,6,14,6,9,14,12,14,12,6,14,6,Royal Giant,Cannon,Earthquake,Archers,The Log,Fisherman,Phoenix,Giant Snowball,14,14,12,14,6,6,6,14,14,14,12,14,6,6,6,14
22,pathOfLegend,1,0,Goblin Barrel,Knight,Rocket,Goblin Gang,Inferno Tower,Princess,Ice Spirit,The Log,9,14,12,14,12,6,14,6,9,14,12,14,12,6,14,6,Minions,Three Musketeers,Elixir Collector,Royal Ghost,Golden Knight,Elite Barbarians,Ice Golem,Rage,14,12,12,6,3,14,12,9,14,12,12,6,4,14,12,9
23,pathOfLegend,1,0,Goblin Barrel,Knight,Rocket,Goblin Gang,Inferno Tower,Princess,Ice Spirit,The Log,9,14,12,14,12,6,14,6,9,14,12,14,12,6,14,6,Mega Knight,Firecracker,Hunter,Fisherman,Goblin Gang,Skeleton Barrel,Royal Giant,Arrows,6,14,9,4,14,14,14,14,6,14,9,6,14,14,14,14
24,pathOfLegend,0,1,Goblin Barrel,Knight,Rocket,Goblin Gang,Inferno Tower,Princess,Ice Spirit,The Log,9,14,12,14,12,6,14,6,9,14,12,14,12,6,14,6,The Log,Poison,Ice Spirit,Knight,Phoenix,Miner,Cannon,Archers,6,9,14,14,6,6,14,14,6,9,14,14,6,6,14,14
0,pathOfLegend,0,1,Fireball,The Log,Knight,Tesla,Archers,Skeletons,Ice Spirit,X-Bow,12,6,14,14,14,14,14,9,12,6,14,14,14,14,14,9,X-Bow,Tesla,Ice Spirit,Skeletons,Fireball,The Log,Knight,Archers,9,14,14,14,12,6,14,14,9,14,14,14,12,6,14,14
1,pathOfLegend,0,3,Fireball,The Log,Knight,Tesla,Archers,Skeletons,Ice Spirit,X-Bow,12,6,14,14,14,14,14,9,12,6,14,14,14,14,14,9,Archers,Rage,Royal Ghost,Monk,Battle Ram,Magic Archer,Heal Spirit,Elite Barbarians,14,9,6,4,12,6,12,14,14,9,6,4,12,6,12,14
2,pathOfLegend,1,0,Fireball,The Log,Knight,Tesla,Archers,Skeletons,Ice Spirit,X-Bow,12,6,14,14,14,14,14,9,12,6,14,14,14,14,14,9,Executioner,Tornado,The Log,Valkyrie,Rocket,Goblins,Hog Rider,Ice Spirit,9,9,6,12,12,14,12,14,9,9,6,12,12,14,12,14
3,pathOfLegend,1,0,Fireball,The Log,Knight,Tesla,Archers,Skeletons,Ice Spirit,X-Bow,12,6,14,14,14,14,14,9,12,6,14,14,14,14,14,9,The Log,Fireball,Goblins,Archers,Ice Spirit,Mighty Miner,Goblin Drill,Cannon,6,12,14,14,14,4,9,14,6,12,14,14,14,4,9,14
4,pathOfLegend,0,1,Fireball,The Log,Knight,Tesla,Archers,Skeletons,Ice Spirit,X-Bow,12,6,14,14,14,14,14,9,12,6,14,14,14,14,14,9,Goblin Giant,Golden Knight,Rage,Zappies,Mother Witch,Tornado,Mini P.E.K.K.A,Sparky,9,4,9,12,6,9,12,6,9,4,9,12,6,9,12,6
5,pathOfLegend,1,0,Fireball,The Log,Knight,Tesla,Archers,Skeletons,Ice Spirit,X-Bow,12,6,14,14,14,14,14,9,12,6,14,14,14,14,14,9,The Log,Skeletons,Cannon,Ice Golem,Ice Spirit,Hog Rider,Musketeer,Fireball,6,14,14,12,14,12,12,12,6,14,14,12,14,12,12,12
6,pathOfLegend,0,1,Fireball,The Log,Knight,Tesla,Archers,Skeletons,Ice Spirit,X-Bow,12,6,14,14,14,14,14,9,12,6,14,14,14,14,14,9,Archers,Electro Giant,Poison,The Log,Mortar,Knight,Tornado,Royal Delivery,14,9,9,6,14,14,9,14,14,9,9,6,14,14,9,14
7,pathOfLegend,0,1,Mega Knight,Zap,Bats,Bandit,Firecracker,Wall Breakers,Goblins,Goblin Drill,6,14,14,6,14,9,14,9,6,14,14,6,14,9,14,9,Royal Giant,Mother Witch,Zappies,Giant Skeleton,Firecracker,Goblins,Fisherman,Arrows,14,6,12,9,14,14,6,14,14,6,12,9,14,14,6,14
8,pathOfLegend,3,1,Monk,Royal Hogs,Firecracker,Earthquake,Ice Spirit,Goblins,Archers,The Log,4,12,14,12,14,14,14,6,4,12,14,12,14,14,14,6,Giant,Dark Prince,Zap,Phoenix,Arrows,Prince,Electro Wizard,Miner,12,9,14,6,14,9,6,6,12,9,14,6,14,9,6,6
9,pathOfLegend,2,1,Monk,Royal Hogs,Firecracker,Earthquake,Ice Spirit,Goblins,Archers,The Log,4,12,14,12,14,14,14,6,4,12,14,12,14,14,14,6,Ice Golem,Goblins,Wall Breakers,Giant Snowball,Archers,Minions,Miner,Mini P.E.K.K.A,12,14,9,14,14,14,6,12,12,14,9,14,14,14,6,12
10,pathOfLegend,1,0,Archers,The Log,Hog Rider,Giant Snowball,Knight,Bomb Tower,Goblins,Earthquake,14,6,12,14,14,12,14,12,14,6,12,14,14,12,14,12,Bats,Inferno Dragon,Giant Snowball,Poison,Hog Rider,Mega Knight,Tesla,Skeletons,14,6,14,9,12,6,14,13,14,6,14,9,12,6,14,14
11,pathOfLegend,1,0,Archers,The Log,Hog Rider,Giant Snowball,Knight,Bomb Tower,Goblins,Earthquake,14,6,12,14,14,12,14,12,14,6,12,14,14,12,14,12,Royal Recruits,Zappies,Goblin Cage,Arrows,Royal Hogs,Flying Machine,Fireball,Barbarian Barrel,14,12,12,14,12,12,12,9,14,12,12,14,12,12,12,9
12,pathOfLegend,1,0,Royal Giant,Phoenix,Fisherman,Lightning,Electro Spirit,Royal Ghost,Hunter,The Log,14,6,6,9,14,6,9,6,14,6,6,9,14,6,9,6,Earthquake,Goblins,Hog Rider,Ice Spirit,Mighty Miner,Mortar,Musketeer,The Log,12,14,12,14,4,14,12,6,12,14,12,14,4,14,12,6
13,pathOfLegend,0,1,Monk,Royal Hogs,Firecracker,Earthquake,Ice Spirit,Goblins,Archers,The Log,4,12,14,12,14,14,14,6,4,12,14,12,14,14,14,6,Mega Knight,Ram Rider,Bandit,Dark Prince,Archer Queen,Inferno Dragon,Fireball,Zap,6,6,6,9,4,6,12,14,6,6,6,9,4,6,12,14
14,pathOfLegend,0,1,Monk,Royal Hogs,Firecracker,Earthquake,Ice Spirit,Goblins,Archers,The Log,4,12,14,12,14,14,14,6,4,12,14,12,14,14,14,6,Zap,Goblin Giant,Mini P.E.K.K.A,Golden Knight,Firecracker,Rage,Sparky,Minions,14,9,12,4,14,9,6,14,14,9,12,4,14,9,6,14
15,pathOfLegend,0,1,Archers,The Log,Hog Rider,Giant Snowball,Knight,Bomb Tower,Goblins,Earthquake,14,6,12,14,14,12,14,12,14,6,12,14,14,12,14,12,Royal Hogs,Skeleton Army,Arrows,Inferno Dragon,Zap,Balloon,Barbarians,Ice Wizard,12,9,14,6,14,9,14,6,12,9,14,6,14,9,14,6
16,pathOfLegend,2,1,Archers,The Log,Hog Rider,Giant Snowball,Knight,Bomb Tower,Goblins,Earthquake,14,6,12,14,14,12,14,12,14,6,12,14,14,12,14,12,Balloon,Lumberjack,Magic Archer,Mini P.E.K.K.A,Skeleton Army,Mirror,Freeze,Bats,9,6,6,12,9,9,9,14,9,6,6,12,9,9,9,14
17,pathOfLegend,1,0,Monk,Royal Hogs,Firecracker,Earthquake,Ice Spirit,Goblins,Archers,The Log,4,12,14,12,14,14,14,6,4,12,14,12,14,14,14,6,Archers,X-Bow,Knight,Skeletons,Tesla,Ice Spirit,Fireball,The Log,14,9,14,14,14,14,12,6,14,9,14,14,14,14,12,6
18,pathOfLegend,0,3,Monk,Royal Hogs,Firecracker,Earthquake,Ice Spirit,Goblins,Archers,The Log,4,12,14,12,14,14,14,6,4,12,14,12,14,14,14,6,Archers,The Log,Hog Rider,Giant Snowball,Knight,Bomb Tower,Goblins,Earthquake,14,6,12,14,14,12,14,12,14,6,12,14,14,12,14,12
19,pathOfLegend,3,0,Monk,Royal Hogs,Firecracker,Earthquake,Ice Spirit,Goblins,Archers,The Log,4,12,14,12,14,14,14,6,4,12,14,12,14,14,14,6,P.E.K.K.A,Battle Ram,Bandit,Minions,Electro Wizard,Royal Ghost,Zap,Poison,9,12,6,14,6,6,14,9,9,12,6,14,6,6,14,9
20,pathOfLegend,0,1,Monk,Royal Hogs,Firecracker,Earthquake,Ice Spirit,Goblins,Archers,The Log,4,12,14,12,14,14,14,6,4,12,14,12,14,14,14,6,Goblin Cage,Mega Knight,Hunter,Arrows,Dart Goblin,Goblin Gang,Skeleton Barrel,Miner,12,6,9,14,12,14,14,6,12,6,9,14,12,14,14,6
21,pathOfLegend,1,0,Monk,Royal Hogs,Firecracker,Earthquake,Ice Spirit,Goblins,Archers,The Log,4,12,14,12,14,14,14,6,4,12,14,12,14,14,14,6,Royal Ghost,Bandit,Magic Archer,Electro Wizard,P.E.K.K.A,Battle Ram,Poison,Zap,6,6,6,6,9,12,9,14,6,6,6,6,9,12,9,14
22,pathOfLegend,1,0,Monk,Royal Hogs,Firecracker,Earthquake,Ice Spirit,Goblins,Archers,The Log,4,12,14,12,14,14,14,6,4,12,14,12,14,14,14,6,Sparky,Mega Knight,Inferno Dragon,Wizard,Skeleton Army,Tornado,Mini P.E.K.K.A,Skeleton Barrel,6,6,6,8,9,8,12,14,6,6,6,12,9,9,12,14
23,pathOfLegend,1,0,Monk,Royal Hogs,Firecracker,Earthquake,Ice Spirit,Goblins,Archers,The Log,4,12,14,12,14,14,14,6,4,12,14,12,14,14,14,6,Monk,Phoenix,Archers,Miner,Cannon,Poison,Goblins,Giant Snowball,3,6,14,6,14,9,14,14,4,6,14,6,14,9,14,14
24,pathOfLegend,1,0,Monk,Royal Hogs,Firecracker,Earthquake,Ice Spirit,Goblins,Archers,The Log,4,12,14,12,14,14,14,6,4,12,14,12,14,14,14,6,Cannon,Hog Rider,Musketeer,Fireball,Goblins,Ice Spirit,Ice Golem,The Log,14,12,12,12,14,14,12,6,14,12,12,12,14,14,12,6
0,pathOfLegend,0,3,Mighty Miner,Arrows,Barbarian Barrel,Phoenix,Graveyard,Archers,Freeze,Tombstone,4,14,9,6,6,14,9,12,4,14,9,6,6,14,9,12,Heal Spirit,Archer Queen,Elite Barbarians,Royal Ghost,Battle Ram,Magic Archer,Bandit,The Log,12,4,14,6,12,6,6,6,12,4,14,6,12,6,6,6
1,pathOfLegend,1,0,Mighty Miner,Arrows,Barbarian Barrel,Phoenix,Graveyard,Archers,Freeze,Tombstone,4,14,9,6,6,14,9,12,4,14,9,6,6,14,9,12,Miner,Wall Breakers,Bomb Tower,Valkyrie,Spear Goblins,Magic Archer,Tornado,The Log,6,9,12,12,14,6,9,6,6,9,12,12,14,6,9,6
2,pathOfLegend,0,1,Mighty Miner,Arrows,Barbarian Barrel,Phoenix,Graveyard,Archers,Freeze,Tombstone,4,14,9,6,6,14,9,12,4,14,9,6,6,14,9,12,Giant Skeleton,Graveyard,Skeleton Army,Arrows,Freeze,Zappies,Bats,Archers,9,6,9,14,9,12,14,14,9,6,9,14,9,12,14,14
3,pathOfLegend,0,1,Mega Knight,Electro Wizard,Poison,Inferno Dragon,Barbarian Barrel,Ram Rider,Golden Knight,Giant Snowball,6,6,9,6,9,6,4,14,6,6,9,6,9,6,4,14,Hog Rider,Earthquake,Mother Witch,Electro Giant,Sparky,Tornado,Golden Knight,Electro Wizard,12,12,6,9,6,9,4,6,12,12,6,9,6,9,4,6
4,pathOfLegend,0,1,Mega Knight,Electro Wizard,Poison,Inferno Dragon,Barbarian Barrel,Ram Rider,Golden Knight,Giant Snowball,6,6,9,6,9,6,4,14,6,6,9,6,9,6,4,14,Musketeer,Mighty Miner,Goblin Drill,Royal Delivery,Cannon Cart,Fireball,Guards,The Log,12,4,9,14,9,12,9,6,12,4,9,14,9,12,9,6
5,pathOfLegend,0,2,Mega Knight,Electro Wizard,Poison,Inferno Dragon,Barbarian Barrel,Ram Rider,Golden Knight,Giant Snowball,6,6,9,6,9,6,4,14,6,6,9,6,9,6,4,14,Royal Giant,Fisherman,Goblins,Archer Queen,Electro Spirit,The Log,Lightning,Royal Ghost,14,6,14,4,14,6,9,6,14,6,14,4,14,6,9,6
6,pathOfLegend,1,0,Mighty Miner,Arrows,Barbarian Barrel,Phoenix,Graveyard,Archers,Freeze,Tombstone,4,14,9,6,6,14,9,12,4,14,9,6,6,14,9,12,Rocket,Knight,Tornado,The Log,Skeletons,Ice Spirit,Archers,Mortar,12,14,9,6,14,14,14,14,12,14,9,6,14,14,14,14
7,pathOfLegend,0,1,Mighty Miner,Arrows,Barbarian Barrel,Phoenix,Graveyard,Archers,Freeze,Tombstone,4,14,9,6,6,14,9,12,4,14,9,6,6,14,9,12,Mortar,The Log,Archer Queen,Poison,Miner,Knight,Ice Spirit,Goblins,14,6,4,9,6,14,14,14,14,6,4,9,6,14,14,14
8,pathOfLegend,1,0,Mighty Miner,Arrows,Barbarian Barrel,Phoenix,Graveyard,Archers,Freeze,Tombstone,4,14,9,6,6,14,9,12,4,14,9,6,6,14,9,12,Bats,Bandit,Barbarian Barrel,Musketeer,Wall Breakers,Zap,Miner,Mega Knight,14,6,9,12,9,14,6,6,14,6,9,12,9,14,6,6
9,pathOfLegend,3,0,Bats,Balloon,Giant Skeleton,Miner,Goblins,Fisherman,Hunter,Giant Snowball,14,9,9,6,14,6,9,14,14,9,9,6,14,6,9,14,Electro Giant,Goblin Cage,Inferno Dragon,Dark Prince,Tornado,Lightning,Bomber,Mother Witch,9,12,6,9,9,9,14,6,9,12,6,9,9,9,14,6
10,pathOfLegend,0,1,Bats,Balloon,Giant Skeleton,Miner,Goblins,Fisherman,Hunter,Giant Snowball,14,9,9,6,14,6,9,14,14,9,9,6,14,6,9,14,Hog Rider,Skeletons,Earthquake,Musketeer,Cannon,The Log,Ice Spirit,Mighty Miner,12,14,12,12,14,6,14,4,12,14,12,12,14,6,14,4
11,pathOfLegend,1,3,Mighty Miner,Arrows,Barbarian Barrel,Phoenix,Graveyard,Archers,Freeze,Tombstone,4,14,9,6,6,14,9,12,4,14,9,6,6,14,9,12,Mirror,Goblin Giant,Zap,Electro Wizard,Rage,Heal Spirit,Mini P.E.K.K.A,Sparky,9,9,14,6,9,12,12,6,9,9,14,6,9,12,12,6
12,pathOfLegend,0,1,Mighty Miner,Hog Rider,Archers,Earthquake,Giant Snowball,Skeletons,Bomb Tower,The Log,4,12,14,12,14,14,12,6,4,12,14,12,14,14,12,6,Zap,Miner,Electro Dragon,Phoenix,Arrows,Giant,Dark Prince,Prince,14,6,9,6,14,12,9,9,14,6,9,6,14,12,9,9
13,pathOfLegend,1,0,Electro Giant,Tornado,Bomber,Lightning,Barbarian Barrel,Golden Knight,Cannon,Phoenix,9,9,14,9,9,4,14,6,9,9,14,9,9,4,14,6,Goblin Barrel,Rascals,Dark Prince,Princess,Wall Breakers,Bandit,The Log,Mirror,9,14,9,6,9,6,6,9,9,14,9,6,9,6,6,9
14,pathOfLegend,0,3,Mighty Miner,Hog Rider,Archers,Earthquake,Giant Snowball,Skeletons,Bomb Tower,The Log,4,12,14,12,14,14,12,6,4,12,14,12,14,14,12,6,Electro Spirit,Flying Machine,Zappies,Royal Recruits,Fireball,Goblin Cage,Royal Hogs,Barbarian Barrel,14,12,12,14,12,12,12,9,14,12,12,14,12,12,12,9
15,pathOfLegend,1,0,Mighty Miner,Hog Rider,Archers,Earthquake,Giant Snowball,Skeletons,Bomb Tower,The Log,4,12,14,12,14,14,12,6,4,12,14,12,14,14,12,6,Skeletons,Bomb Tower,Executioner,The Log,Monk,Ice Spirit,Goblin Drill,Tornado,14,12,9,6,4,14,9,9,14,12,9,6,4,14,9,9
16,pathOfLegend,0,1,Mighty Miner,Hog Rider,Archers,Earthquake,Giant Snowball,Skeletons,Bomb Tower,The Log,4,12,14,12,14,14,12,6,4,12,14,12,14,14,12,6,Mighty Miner,Ice Spirit,Princess,Goblin Barrel,The Log,Goblins,Cannon,Rocket,4,14,6,9,6,14,14,12,4,14,6,9,6,14,14,12
17,pathOfLegend,0,1,Mighty Miner,Hog Rider,Archers,Earthquake,Giant Snowball,Skeletons,Bomb Tower,The Log,4,12,14,12,14,14,12,6,4,12,14,12,14,14,12,6,Hog Rider,Skeletons,Earthquake,Musketeer,Cannon,The Log,Ice Spirit,Mighty Miner,12,14,12,12,14,6,14,4,12,14,12,12,14,6,14,4
18,pathOfLegend,1,0,Mighty Miner,Hog Rider,Archers,Earthquake,Giant Snowball,Skeletons,Bomb Tower,The Log,4,12,14,12,14,14,12,6,4,12,14,12,14,14,12,6,Archers,The Log,X-Bow,Knight,Skeletons,Tesla,Electro Spirit,Fireball,14,6,9,14,14,14,14,12,14,6,9,14,14,14,14,12
19,pathOfLegend,0,1,Mighty Miner,Hog Rider,Archers,Earthquake,Giant Snowball,Skeletons,Bomb Tower,The Log,4,12,14,12,14,14,12,6,4,12,14,12,14,14,12,6,Giant,Bats,Mini P.E.K.K.A,Archers,Sparky,Zap,Arrows,Skeleton Army,12,14,12,14,6,14,14,9,12,14,12,14,6,14,14,9
20,pathOfLegend,0,1,Mighty Miner,Hog Rider,Archers,Earthquake,Giant Snowball,Skeletons,Bomb Tower,The Log,4,12,14,12,14,14,12,6,4,12,14,12,14,14,12,6,Phoenix,Goblins,Golden Knight,Mother Witch,Cannon,Electro Giant,Tornado,Earthquake,6,14,4,6,14,9,9,12,6,14,4,6,14,9,9,12
21,pathOfLegend,0,1,Mighty Miner,Hog Rider,Archers,Earthquake,Giant Snowball,Skeletons,Bomb Tower,The Log,4,12,14,12,14,14,12,6,4,12,14,12,14,14,12,6,Mighty Miner,Goblin Barrel,The Log,Princess,Cannon,Rocket,Archers,Ice Spirit,4,9,6,6,14,12,14,14,4,9,6,6,14,12,14,14
22,pathOfLegend,1,0,Mighty Miner,Hog Rider,Archers,Earthquake,Giant Snowball,Skeletons,Bomb Tower,The Log,4,12,14,12,14,14,12,6,4,12,14,12,14,14,12,6,X-Bow,Skeletons,The Log,Ice Spirit,Tesla,Archers,Fireball,Knight,9,14,6,14,14,14,12,14,9,14,6,14,14,14,12,14
23,pathOfLegend,0,1,Mighty Miner,Hog Rider,Archers,Earthquake,Giant Snowball,Skeletons,Bomb Tower,The Log,4,12,14,12,14,14,12,6,4,12,14,12,14,14,12,6,Tesla,Ice Spirit,Knight,Fireball,Archers,Skeletons,X-Bow,The Log,14,14,14,12,14,14,9,6,14,14,14,12,14,14,9,6
24,pathOfLegend,0,1,Mighty Miner,Hog Rider,Archers,Earthquake,Giant Snowball,Skeletons,Bomb Tower,The Log,4,12,14,12,14,14,12,6,4,12,14,12,14,14,12,6,Archers,Fireball,Tesla,The Log,Knight,X-Bow,Skeletons,Electro Spirit,14,12,14,6,14,9,14,14,14,12,14,6,14,9,14,14
0,pathOfLegend,1,0,Skeletons,Fire Spirit,Electro Spirit,Mini P.E.K.K.A,Archers,X-Bow,Elixir Collector,The Log,14,14,14,12,14,9,12,6,14,14,14,12,14,9,12,6,Electro Wizard,Bandit,Prince,Zap,The Log,P.E.K.K.A,Wizard,Dark Prince,6,6,9,14,6,9,12,9,6,6,9,14,6,9,12,9
1,pathOfLegend,1,0,Skeletons,Fire Spirit,Electro Spirit,Mini P.E.K.K.A,Archers,X-Bow,Elixir Collector,The Log,14,14,14,12,14,9,12,6,14,14,14,12,14,9,12,6,Mortar,The Log,Goblins,Mighty Miner,Ice Spirit,Goblin Barrel,Fireball,Archers,14,6,14,4,14,9,12,14,14,6,14,4,14,9,12,14
2,pathOfLegend,1,3,Skeletons,Fire Spirit,Electro Spirit,Mini P.E.K.K.A,Archers,X-Bow,Elixir Collector,The Log,14,14,14,12,14,9,12,6,14,14,14,12,14,9,12,6,Lava Hound,Minions,Inferno Dragon,Freeze,Arrows,Barbarians,Balloon,Tombstone,6,14,6,9,14,14,9,12,6,14,6,9,14,14,9,12
3,pathOfLegend,1,0,Skeletons,Fire Spirit,Electro Spirit,Mini P.E.K.K.A,Archers,X-Bow,Elixir Collector,The Log,14,14,14,12,14,9,12,6,14,14,14,12,14,9,12,6,Giant Skeleton,Graveyard,Skeleton Army,Arrows,Freeze,Zappies,Bats,Archers,9,6,9,14,9,12,14,14,9,6,9,14,9,12,14,14
4,pathOfLegend,1,0,Skeletons,Fire Spirit,Electro Spirit,Mini P.E.K.K.A,Archers,X-Bow,Elixir Collector,The Log,14,14,14,12,14,9,12,6,14,14,14,12,14,9,12,6,Golden Knight,Tornado,Barbarian Barrel,Cannon,Electro Giant,Phoenix,Bomber,Lightning,4,9,9,14,9,6,14,9,4,9,9,14,9,6,14,9
7,pathOfLegend,3,0,Skeletons,Fire Spirit,Electro Spirit,Mini P.E.K.K.A,Archers,X-Bow,Elixir Collector,The Log,14,14,14,12,14,9,12,6,14,14,14,12,14,9,12,6,Giant Skeleton,Tornado,Arrows,Archers,Graveyard,Fisherman,Royal Delivery,Tombstone,9,9,14,14,6,6,14,12,9,9,14,14,6,6,14,12
8,pathOfLegend,3,0,Skeletons,Fire Spirit,Electro Spirit,Mini P.E.K.K.A,Archers,X-Bow,Elixir Collector,The Log,14,14,14,12,14,9,12,6,14,14,14,12,14,9,12,6,Skeleton King,Tombstone,Ice Wizard,Poison,Graveyard,Tornado,Barbarian Barrel,Phoenix,4,12,6,9,6,9,9,6,4,12,6,9,6,9,9,6
